age,famrel,G1,G2,G3,sex_F,famsize_GT3,famsize_LE3,paid_no,nursery_yes,higher_no,internet_yes,romantic_no,romantic_yes,Mjob_services,Fjob_health,reason_course,reason_home,reason_other,guardian_father,Pass
18,4,5,6,6,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
17,5,5,5,6,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
15,4,7,8,10,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0
15,3,15,14,15,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
16,4,6,10,10,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
16,5,15,15,15,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1
16,4,12,12,11,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0
17,4,6,5,6,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
15,4,16,18,19,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1
15,5,14,15,15,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1
15,3,10,8,9,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
15,5,10,12,12,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1
15,4,14,14,14,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1
15,5,10,10,11,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
15,4,14,16,16,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1
16,4,14,14,14,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1
16,3,13,14,14,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1
16,5,8,10,10,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
17,5,6,5,5,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0
16,3,8,10,10,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0
15,4,13,14,15,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
15,5,12,15,15,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1
16,4,15,15,16,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1
16,5,13,13,12,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1
15,4,10,9,8,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0
16,1,6,9,8,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0
15,4,12,12,11,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
15,2,15,16,15,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
16,5,11,11,11,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0
16,4,10,12,11,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
15,5,9,11,12,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
15,4,17,16,17,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1
15,4,17,16,16,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1
15,5,8,10,12,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1
16,5,12,14,15,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
15,3,8,7,6,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0
15,5,15,16,18,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1
16,2,15,16,15,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1
15,4,12,12,11,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0
15,4,14,13,13,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
16,3,7,10,11,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0
15,5,12,12,12,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1
15,4,19,18,18,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1
15,5,8,8,11,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0
16,4,10,10,9,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0
15,5,8,8,6,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
16,2,11,12,11,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0
16,4,19,19,20,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
15,4,15,15,14,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
15,4,7,7,7,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0
16,4,12,13,13,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1
15,4,11,13,13,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
15,5,11,11,10,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0
15,3,8,10,11,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
15,5,10,13,13,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
16,5,8,9,10,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
15,4,14,15,15,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1
15,3,14,15,15,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
15,4,9,10,9,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0
16,4,15,16,16,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1
16,2,10,11,11,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
16,5,10,8,11,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0
16,4,8,10,9,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0
16,3,10,9,9,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0
15,4,10,10,10,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0
16,5,16,15,15,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1
15,1,13,13,12,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
16,4,7,7,6,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
15,4,8,9,8,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
15,4,16,16,16,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1
16,4,13,15,15,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
15,3,10,10,10,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
15,3,8,6,5,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
16,5,12,12,14,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
16,4,11,12,11,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
15,4,9,9,10,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
